desc;label
Przeniknął mnie jesienny chłód,;dżem
Skąd tu ta plama tłusta;wodecki
W codziennej żegludze;wodecki
I gdzie indziej też! (też);wodecki
Już dość, dość, dość;dżem
Był dzień, było jasne słońce;dżem
Utopiłem żal w kieliszku;dżem
i klaruj wina swe!;wodecki
Zaczynam bywać głośny zbyt;wodecki
a dojdziesz tam, gdzie chcesz!;wodecki
W pasjansie zamiast damy król;wodecki
a jedynym przyjacielem pigułki białe dwie;dżem
Człowieku co się z Toba dzieje,;dżem
W daleki, piękny świat (w daleki świat);wodecki
Wyciągnął dyszel Wielki Wóz,;dżem
Spod gór;wodecki
Bo dżem to jest blues;dżem
Daruj sobie miód;dżem
znaj kwiatów woń,;wodecki
Czasie, dlaczego mijasz;wodecki
Małżeńskie obowiązki,;wodecki
Nikt nie nadejdzie, a Ty pewnie,;dżem
Nie widziałeś, nie widziałeś, a chcesz już iść;dżem
Przeżyć nie mogła, że ją Ignac wygnał;wodecki
Chwytaj dzień,;wodecki
Dowcip śmieszny do łez;wodecki
Basia, Basia, Basia, Basia, Basia, Basia, Baś...;wodecki
Pamiętam jak dzisiaj: cudowny był lipiec;wodecki
I marzenia blask;dżem
Bo nie sposób mnie nie poczuć;dżem
I niczego nie brak: złotych wspomnień, ciepła słów;wodecki
Bądź przyjacielem swym,;dżem
Boże pomóż mi,;dżem
Martwo śpi;wodecki
W białej sukni staną sady jeszcze raz;wodecki
Dwie kobiety pragną mnie;dżem
Jest dźwięk w harmonii dnia,;wodecki
wróci do łask,;wodecki
A to, co zwie się kres;wodecki
tuż za mną cień, jak odnaleźć się;dżem
co z Olimpu zszedł?;wodecki
Mam przecież na papierze;wodecki
Abym został na dłużej gdzieś.;dżem
By zapomnieć, że chcesz;wodecki
Kłótnie zmieniasz w letni miód;wodecki
Afryka dzika dawno odkryta;wodecki
Może ktoś poratuje mnie,;dżem
Dość że w głowie, w głowie został głos...;dżem
Sfuszerował mnie ten czas... no cóż;wodecki
do babci spieszy kapturek;wodecki
A zaczniesz na nowo...;dżem
Więc zanim ławki obsiądzie liści wielobarwna cyganeria;wodecki
Czemu zwiastujesz rozstania;wodecki
Żona zostawiła mnie;dżem
Wszystko jest naprawdę jak trzeba;wodecki
Kiedy ciemny wiatr;dżem
Zimno mi, zimno mi i forsy brak,;dżem
Chwytaj dzień,;wodecki
Pędzi tak, jakby wpadł w jakiś trans.;wodecki
a mogłem dać tylko chwilę;dżem
I tak to trwało, aż wreszcie się stało;wodecki
Ześle sen powolny nam jak pieśń bez słów;wodecki
Vanno a fermare una pioggia d'argento;wodecki
Nakładasz lat makijaż;wodecki
i z głębi chmur;wodecki
Na starym pasku wyostrzyła brzytwę;wodecki
Albo być, albo mieć...;dżem
Szkoda że nie jest tak;dżem
Siedzę na ławce mego rancza,;dżem
A być może, gdy zobaczysz właśnie je;dżem
Dokładnie nie wiem - tak bez centymetra -;wodecki
budzi się.;wodecki
Saraceński to miecz.;wodecki
13-ty piątek, czarny kot;wodecki
I była miłość i była zgoda,;dżem
Sny ma niespokojne,;wodecki
Boże daj mu dom, cichy kąt.;dżem
Niech płoną serca i oczy Wasze niech;dżem
Nie mogę tak odejść, gdy kusi mnie grzech,;dżem
Powoli szli.;wodecki
Cały ten świat nie znaczy nic a nic...;dżem
Zamknięte sklepy i kawiarnie,;dżem
Daruj sobie miód;dżem
Nie do wiary miał być pech;wodecki
wtedy to właśnie;dżem
Przegrywa co dzień;dżem
Tak wzdłuż i wszerz...;wodecki
Chodzenie po ścianach,;dżem
Tutti i colori dell'arcobaleno;wodecki
To nie ja;wodecki
Powiedział Pan, powiedział Pan:;dżem
Komu czarna nić;wodecki
Adrenaliny czuję skok;dżem
który raz na sto lat;wodecki
Tak wzdłuż i wszerz...;wodecki
nieznaczący nic szary sen i kolorowe;dżem
Uciszyłem myśli teraz ja;dżem
Miałem własną żonę i dom,;dżem
ani kwiat lotosu, wielki deszcz kokosów, złotych jabłek wór,;wodecki
- Nie spodziewałem się, że ta dziewczyna;wodecki
- Dobranoc! już uciekłaś i drzwi chcesz zatrzasnąć.;wodecki
mógłbym to namalować;dżem
przebiegł mi;dżem
A on był łajdak - starszy już mężczyzna;wodecki
Prawdę musisz znać i ty:;dżem
nad Dzieciątka snem.;wodecki
Bowiem tak to jest;wodecki
jak myśli me o Tobie;dżem
muszę przecież wolnym być;dżem
Dlaczego tak...?;dżem
prawdzie patrzeć w twarz;dżem
Tracę już wiarę, zostać czy nie;dżem
Gdzie wiatr posiał;wodecki
Onieśmielony tak,;dżem
Nigdy nie jest tak źle;wodecki
Że to był tylko zły sen.;dżem
dzisiaj to wiem no i prawdę znam;dżem
Zabierając talię kart;dżem
Chałupy welcome to sun of Yamaica blues;wodecki
Leżę obok pełen wstydu, krótki to był zryw,;dżem
To szansa dla twych cnót;wodecki
Nasz ląd i nasz dom;wodecki
nad Dzieciątka snem,;wodecki
La la la, la la la la la la la la;wodecki
Może są jeszcze;wodecki
Nakładasz lat makijaż;wodecki
Ile jeszcze ta tułaczka może trwać?;dżem
które nosiłem przez tyle lat;dżem
Słońca dwa;wodecki
Bez dwóch zdań;dżem
nawet nie wiesz jak,;dżem
Chałupy welcome to Bahama mama luz;wodecki
Że klęska każda i cios;wodecki
Telewizor krzesła drzwi;dżem
zobaczę to co się śni;dżem
na swą własną drogę;dżem
Tę właśnie bajeczkę ci szepcze do uszka;wodecki
Co czeka gdzieś od lat (czeka gdzieś od lat);wodecki
Tutaj nie, nie jest źle;dżem
Coraz bliżej brzeg;wodecki
Jeszcze kółko różańcowe;dżem
i radość czuj -;wodecki
Daj mu dom, daj mu dom,;dżem
w oczach łzy i lęk;dżem
To ostra jazda, żaden kit;dżem
miłości twej, miłości pragnąc twej!;wodecki
Nie patrz w tył, nie czas;wodecki
Na twoim karku zły los;wodecki
Oto już ucichła wrzawa,;wodecki
Skoro czas zatrzymał się - co może się stać;dżem
właśnie ten co drogę zabiegł mi;dżem
Zbyt groźny miła znaków splot;wodecki
Miss Natura wybierać;wodecki
